text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @alejandramatus: COVID-19: Chile no está aplanando la curva, la perdimos de vista  https://t.co/OWDG2qBIhv vía @uchile",FALSE,0,,2020-04-19T23:59:52Z,FALSE,,1252024144998342656,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",syylllllllllll,471,TRUE,FALSE,,
"RT @Muni_Renca: #RencaInforma de las personas contagiadas con COVID-19 en #Renca al domingo 19 abril. Junto con ello, informamos que el ser…",FALSE,0,,2020-04-19T23:59:45Z,FALSE,,1252024116137385984,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",_CJ10_,13,TRUE,FALSE,,
RT @Skoknic: Chile compró un millón de kits para exámenes de Covid-19 y laboratorios cuestionan su eficacia https://t.co/Muc1HRzhKp,FALSE,0,,2020-04-19T23:59:41Z,FALSE,,1252024101222350848,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Jota__Ese,5,TRUE,FALSE,,
"Gobierno informa 358 nuevos casos Covid-19, total supera los 10 mil y muertos llegan a 133 https://t.co/a83BhYnz4c",FALSE,1,,2020-04-19T23:59:40Z,FALSE,,1252024095241310208,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Alertas100,0,FALSE,FALSE,,
"RT @jgalemparte: Famoso instructivo firmado por ministros del Interior y Hacienda, no contempló firma de Salud, no se consultó a Consejo As…",FALSE,0,,2020-04-19T23:59:34Z,FALSE,,1252024070608125952,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tengotronombre,203,TRUE,FALSE,,
RT @MattyLL: Chile compró un millón de kits para exámenes de Covid-19 y laboratorios cuestionan su eficacia https://t.co/4Yw34pOE9u // Por…,FALSE,0,,2020-04-19T23:59:30Z,FALSE,,1252024054355279872,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kenitafunk,133,TRUE,FALSE,,
Chile compró un millón de kits para exámenes de Covid-19 y laboratorios cuestionan su eficacia https://t.co/Muc1HRzhKp,FALSE,6,,2020-04-19T23:59:21Z,FALSE,,1252024016480743426,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Skoknic,5,FALSE,FALSE,,
RT @adnradiochile: Francia: Encuentran rastros de Covid-19 en agua no potable de París https://t.co/gXPSofz1dw https://t.co/ZnR7R9oygN,FALSE,0,,2020-04-19T23:58:49Z,FALSE,,1252023879729643525,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KAOSCHILE,167,TRUE,FALSE,,
Denme rt por favor #survivor2020 #COVID19 #CuarentenaNacional #CuarentenaExtendida #CuarentenaObligatoriaYa… https://t.co/e4G6kZnYyr,FALSE,0,efeuerstein,2020-04-19T23:58:45Z,TRUE,1252023579933319168,1252023862830792706,53293684,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",efeuerstein,0,FALSE,FALSE,,
RT @adnradiochile: Francia: Encuentran rastros de Covid-19 en agua no potable de París https://t.co/gXPSofz1dw https://t.co/ZnR7R9oygN,FALSE,0,,2020-04-19T23:58:40Z,FALSE,,1252023843016802306,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",j_karamazov,167,TRUE,FALSE,,
RT @Cooperativa: Madre desesperada en #Talca puso letreros afuera de su casa pidiendo ayuda luego que su esposo diera positivo al #Covid-19…,FALSE,0,,2020-04-19T23:58:35Z,FALSE,,1252023821198073862,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Antara1957,149,TRUE,FALSE,,
RT @Cooperativa: Madre desesperada en #Talca puso letreros afuera de su casa pidiendo ayuda luego que su esposo diera positivo al #Covid-19…,FALSE,0,,2020-04-19T23:58:29Z,FALSE,,1252023796413935617,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",elsangresucia,149,TRUE,FALSE,,
"Mientras dure el Estado de Catástrofe por #COVID_19, no se podrá cortar el suministro eléctrico por deuda a todos q… https://t.co/wvvhgeVXlt",FALSE,6,,2020-04-19T23:58:21Z,TRUE,,1252023765275377664,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EnergiaRM,4,FALSE,FALSE,,
"#RencaInforma de las personas contagiadas con COVID-19 en #Renca al domingo 19 abril. Junto con ello, informamos qu… https://t.co/60WHuvkvaR",FALSE,25,,2020-04-19T23:58:20Z,TRUE,,1252023758455558144,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Muni_Renca,13,FALSE,FALSE,,
RT @MattyLL: Chile compró un millón de kits para exámenes de Covid-19 y laboratorios cuestionan su eficacia https://t.co/4Yw34pOE9u // Por…,FALSE,0,,2020-04-19T23:58:19Z,FALSE,,1252023756777590784,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",lromer2016,133,TRUE,FALSE,,
RT @Cooperativa: Madre desesperada en #Talca puso letreros afuera de su casa pidiendo ayuda luego que su esposo diera positivo al #Covid-19…,FALSE,0,,2020-04-19T23:58:13Z,FALSE,,1252023732450852864,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",carolin59928729,149,TRUE,FALSE,,
RT @ex_rolmedo73: Chile compró un millón de kits para exámenes de Covid-19 y laboratorios cuestionan su eficacia https://t.co/fIDufTyjJd,FALSE,0,,2020-04-19T23:58:11Z,FALSE,,1252023721231028224,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Antara1957,3,TRUE,FALSE,,
RT @Cooperativa: Madre desesperada en #Talca puso letreros afuera de su casa pidiendo ayuda luego que su esposo diera positivo al #Covid-19…,FALSE,0,,2020-04-19T23:58:10Z,FALSE,,1252023718026641408,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",orko_shaman,149,TRUE,FALSE,,
"RT @luisingermanico: Revista Forbes destaca a Nueva Zelanda, Taiwán y Alemania como ejemplos para combatir el Covid-19. Los 3 países son go…",FALSE,0,,2020-04-19T23:57:56Z,FALSE,,1252023660086530048,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",anamasalas1,29,TRUE,FALSE,,
"RT @latercera: #LTDomingo | La red universitaria de detección del Covid-19. Carolina Torrealba, subsecretaria de Ciencia, anuncia un fondo…",FALSE,0,,2020-04-19T23:57:56Z,FALSE,,1252023659134365697,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HernanLeivaF,12,TRUE,FALSE,,
"RT @jmbolados: En Canal 13 dieron el nombre COMPLETO de un detenido por el asalto al banco de chile, pero después guardaron silencio con el…",FALSE,0,,2020-04-19T23:57:54Z,FALSE,,1252023649869148161,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kattypaolam,4571,TRUE,FALSE,,
RT @Cooperativa: Madre desesperada en #Talca puso letreros afuera de su casa pidiendo ayuda luego que su esposo diera positivo al #Covid-19…,FALSE,0,,2020-04-19T23:57:54Z,FALSE,,1252023649848176640,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CMallegas,149,TRUE,FALSE,,
