text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @lafundacionsol: Si los trabajadores con contrato están poniendo su seguro de cesantía, las micro, pequeñas y medianas empresas estarán…",FALSE,0,,2020-04-20T23:59:52Z,FALSE,,1252386534130499584,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",OTDChile,169,TRUE,FALSE,,
"#noticias24 Mi suegro jubiló el año pasado y no recibió el bono COVID-19, le corresponde?, siempre recibe el bono M… https://t.co/yY3uFGYExD",FALSE,0,,2020-04-20T23:59:46Z,TRUE,,1252386510206169092,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JCorderoT,0,FALSE,FALSE,,
"RT @El_Ciudadano: No vaya a ser que con esta ""nueva normalidad"" el virus vaya mutando....
#nuevanormalidad #covid-19 #fueramañalich #nuncam…",FALSE,0,,2020-04-20T23:59:44Z,FALSE,,1252386498613133314,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3vecescaido,233,TRUE,FALSE,,
"Bono COVID-19 comienza pago presencial: consulta con tu Rut si te corresponde el beneficio

https://t.co/FaLJZbeLiF",FALSE,3,,2020-04-20T23:59:41Z,FALSE,,1252386485736574982,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",T13,3,FALSE,FALSE,,
"RT @El_Ciudadano: No vaya a ser que con esta ""nueva normalidad"" el virus vaya mutando....
#nuevanormalidad #covid-19 #fueramañalich #nuncam…",FALSE,0,,2020-04-20T23:59:38Z,FALSE,,1252386475418607620,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MalByte_13,233,TRUE,FALSE,,
"RT @El_Ciudadano: Comienzan primeras protestas en las calles ante repudiado manejo del Gobierno de crisis por Covid-19

#NuevaNormalidad #n…",FALSE,0,,2020-04-20T23:59:36Z,FALSE,,1252386465025191938,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Guillermo_Cofre,85,TRUE,FALSE,,
"RT @El_Ciudadano: Comienzan primeras protestas en las calles ante repudiado manejo del Gobierno de crisis por Covid-19

#NuevaNormalidad #n…",FALSE,0,,2020-04-20T23:59:30Z,FALSE,,1252386442241703937,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",otrorojas,85,TRUE,FALSE,,
"RT @360PrensaLibre: CIENTOS DE PERSONAS PROTESTAN EN PLAZA DE LA DIGNIDAD CONTRA POLÍTICAS DE PIÑERA POR COVID-19 
https://t.co/9ygpvT0bQh…",FALSE,0,,2020-04-20T23:58:55Z,FALSE,,1252386292790255617,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",netbelsw,8,TRUE,FALSE,,
"RT @24HorasTVN: ⭕ #AHORA24H | Juan Carlos Fau dueño de la Cooperativa de Librería “Qué Leo""  realiza recomendaciones de lectura durante el…",FALSE,0,,2020-04-20T23:58:52Z,FALSE,,1252386281180377091,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",AlejandroSig,7,TRUE,FALSE,,
"RT @T13: Consejo Asesor COVID-19: ""Apoyamos plenamente el retorno gradual de las funciones públicas""

https://t.co/hS2widr4Sx",FALSE,0,,2020-04-20T23:58:50Z,FALSE,,1252386273265774593,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HPipestone,62,TRUE,FALSE,,
"RT @Chileokulto: Murio la periodista Colombiana-Venezolana Marianhe Pabón , férrea anti chavista que vaticinó miles de muertes por Covid-19…",FALSE,0,,2020-04-20T23:58:36Z,FALSE,,1252386215904464898,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",davidhorma,180,TRUE,FALSE,,
"RT @El_Ciudadano: Viviremos
Volveremos
Venceremos
#covid-19 #nuevaNormalidad #fueramañalich #fuerapiñera #nuncamas https://t.co/1BgV7VZhkQ",FALSE,0,,2020-04-20T23:58:33Z,FALSE,,1252386202730106881,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",56FENIX,43,TRUE,FALSE,,
RT @ACI_Chile: Catastro trabajadores del conocimiento COVID-19. Como ACIC estamos preocupados por las consecuencias laborales que esto pued…,FALSE,0,,2020-04-20T23:58:27Z,FALSE,,1252386177933434881,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",AlejandroSig,24,TRUE,FALSE,,
"RT @El_Ciudadano: Profesionales de la salud: ‘Covid-19 expone la fragilidad de un sistema dominado por la ideología de mercado’

#NuevaNorm…",FALSE,0,,2020-04-20T23:58:03Z,FALSE,,1252386078297698306,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",chocafive,10,TRUE,FALSE,,
RT @latercera: Vuelven las manifestaciones a Plaza Baquedano en medio de la pandemia del Covid-19 https://t.co/Rxf5eKAEcN https://t.co/o9bd…,FALSE,0,,2020-04-20T23:57:43Z,FALSE,,1252385990754267137,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JosGK1,560,TRUE,FALSE,,
RT @latercera: Vuelven las manifestaciones a Plaza Baquedano en medio de la pandemia del Covid-19 https://t.co/Rxf5eKAEcN https://t.co/o9bd…,FALSE,0,,2020-04-20T23:57:39Z,FALSE,,1252385974614544385,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",teletipejo,560,TRUE,FALSE,,
Vuelven las manifestaciones a Plaza Baquedano en medio de la pandemia del Covid-19 https://t.co/ocSpDnxW6O… https://t.co/gsSeBFYeYJ,FALSE,4,,2020-04-20T23:57:38Z,TRUE,,1252385972697759744,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Carlossassarini,3,FALSE,FALSE,,
"RT @360PrensaLibre: CIENTOS DE PERSONAS PROTESTAN EN PLAZA DE LA DIGNIDAD CONTRA POLÍTICAS DE PIÑERA POR COVID-19 
https://t.co/9ygpvT0bQh…",FALSE,0,,2020-04-20T23:57:27Z,FALSE,,1252385926640103425,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",janecarvajal,8,TRUE,FALSE,,
RT @latercera: Vuelven las manifestaciones a Plaza Baquedano en medio de la pandemia del Covid-19 https://t.co/Rxf5eKAEcN https://t.co/o9bd…,FALSE,0,,2020-04-20T23:57:09Z,FALSE,,1252385849544634368,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EduardoBarahona,560,TRUE,FALSE,,
RT @latercera: Vuelven las manifestaciones a Plaza Baquedano en medio de la pandemia del Covid-19 https://t.co/Rxf5eKAEcN https://t.co/o9bd…,FALSE,0,,2020-04-20T23:57:06Z,FALSE,,1252385836802269184,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pablo41868187,560,TRUE,FALSE,,
RT @El_Ciudadano: Funcionarios públicos realizan protesta al frente de la Moneda luego de las medidas tomadas por el gobierno de volver a l…,FALSE,0,,2020-04-20T23:57:06Z,FALSE,,1252385836412223488,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Rodor_CZD,64,TRUE,FALSE,,
RT @ACI_Chile: Catastro trabajadores del conocimiento COVID-19. Como ACIC estamos preocupados por las consecuencias laborales que esto pued…,FALSE,0,,2020-04-20T23:57:02Z,FALSE,,1252385820763320321,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cundurraga,24,TRUE,FALSE,,
"RT @OliverTwitttt: Covid-19 - Nuevo Reporte. Hace dos semanas, varias personas me decían: ""espérate 2 semanas, se vendrá el caos, guardaré…",FALSE,0,,2020-04-20T23:57:00Z,FALSE,,1252385812634689538,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",irarrazaval,61,TRUE,FALSE,,
