text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @El_Ciudadano: Anoche en Plaza de la Dignidad “Piñera ql resistiremos la pandemia solo para verlos caer”.

@radiovillafrancia

#nuncamas…",FALSE,0,,2020-04-17T23:59:57Z,FALSE,,1251299390196723715,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",asemacaritt,147,TRUE,FALSE,,
RT @jvwolfersdorff: Hoy Dipres público proyecciones fiscales: un gasto de $55 bill. e ingresos de $39 bill. Solo un 70% de gasto está cubie…,FALSE,0,,2020-04-17T23:59:42Z,FALSE,,1251299327609372673,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",XCPuq,54,TRUE,FALSE,,
"OMS se desmarca de carnet COVID de recuperados implementado en Chile y pide ""ser prudentes"" https://t.co/B8opz7UQCa vía @T13",FALSE,0,,2020-04-17T23:59:38Z,FALSE,,1251299313432625152,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vmontellano,0,FALSE,FALSE,,
RT @CarolaVeraR: Una señora de mi edificio se refiere a mi como “la infectada”. 😳😳 Y pide en el chat de vecinos que yo tengo que hacer ruid…,FALSE,0,,2020-04-17T23:59:37Z,FALSE,,1251299308533690370,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alejoaquinagago,1506,TRUE,FALSE,,
RT @cla_cor: Mañana por partida doble: 10:00 reunión con Sociedad chilena de Endocrinología y diabetes @SochedChile y a las 13:00 con Socie…,FALSE,0,,2020-04-17T23:59:34Z,FALSE,,1251299294977626112,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",carolpohlhammer,30,TRUE,FALSE,,
"RT @David_DiazF: Ultrasonido en COVID-19 🦠
Probando las bolsas para paraguas ☔️ tuvimos que utilizar 2 y unirlas para mejorar la comodidad,…",FALSE,0,,2020-04-17T23:59:34Z,FALSE,,1251299293367058433,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cdomenech77,13,TRUE,FALSE,,
"RT @marioaguilera4: “Tenemos el mejor sistema de salud del planeta” y era verdad, Mañalich es el único ministro y médico en el mundo que sa…",FALSE,0,,2020-04-17T23:59:31Z,FALSE,,1251299280851283969,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",spsc31,428,TRUE,FALSE,,
"RT @PublimetroChile: Julio César Rodríguez reflexiona sobre el covid-19 y la crisis: ""El problema está en las entrañas del país que hemos d…",FALSE,0,,2020-04-17T23:59:26Z,FALSE,,1251299259355410438,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",patriciogore,17,TRUE,FALSE,,
"RT @CHVNoticias: Seremi de Salud de Valparaíso busca a pasajeros que viajaron en bus este jueves desde Los Andes a Santiago.

Sigue el minu…",FALSE,0,,2020-04-17T23:59:19Z,FALSE,,1251299231844962313,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",andrea_bravoc,42,TRUE,FALSE,,
"RT @ChrisGarciaCL: En @usach tenemos 680 alumnos nuevos y antiguos en curso de COVID-19. 
El enfoque es prevencion y control de COVID-19 en…",FALSE,0,,2020-04-17T23:59:10Z,FALSE,,1251299194192703497,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pericontra,18,TRUE,FALSE,,
RT @leonardoChavezE: Muchos compañeros #BecariosAbandonados siguen impagos en plena crisis #Covid_19. Resaltamos la vulnerabilidad de estar…,FALSE,0,,2020-04-17T23:59:10Z,FALSE,,1251299193681055749,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mabesa0303,12,TRUE,FALSE,,
RT @sebaiturr1eta: Pato Frez tiene COVID-19. https://t.co/iNmYCebiP5,FALSE,0,,2020-04-17T23:59:08Z,FALSE,,1251299183514079232,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gonz4andres,32,TRUE,FALSE,,
"RT @Thatcher_Olivi: ‼️Inmigrantes Ilegales se rehusan a realizarse el text del COVID-19...‼️

🇨🇱Esto ensucia la imagen de otros miles de in…",FALSE,0,,2020-04-17T23:59:07Z,FALSE,,1251299180573843457,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",magie1997,13,TRUE,FALSE,,
RT @cla_cor: Mañana por partida doble: 10:00 reunión con Sociedad chilena de Endocrinología y diabetes @SochedChile y a las 13:00 con Socie…,FALSE,0,,2020-04-17T23:59:06Z,FALSE,,1251299177751085057,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",pamelatlr,30,TRUE,FALSE,,
RT @CarolaVeraR: Una señora de mi edificio se refiere a mi como “la infectada”. 😳😳 Y pide en el chat de vecinos que yo tengo que hacer ruid…,FALSE,0,,2020-04-17T23:59:05Z,FALSE,,1251299173242212361,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",catrala_cc,1506,TRUE,FALSE,,
"RT @El_Ciudadano: Anoche en Plaza de la Dignidad “Piñera ql resistiremos la pandemia solo para verlos caer”.

@radiovillafrancia

#nuncamas…",FALSE,0,,2020-04-17T23:58:55Z,FALSE,,1251299130313408517,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ArcisenToma,147,TRUE,FALSE,,
"RT @T13: 🔴 #AlertaT13 | OMS se desmarca de carnet de recuperados implementado en Chile y pide ""ser prudentes"" » https://t.co/k02rQ26rvR htt…",FALSE,0,,2020-04-17T23:58:38Z,FALSE,,1251299060792938497,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sebakiroz,1543,TRUE,FALSE,,
"RT @pinabertoglia: 1: Planificar clases presenciales con casos y letalidad Covid-19 en aumento no tiene respaldo epidemiólogico.
2: Indique…",FALSE,0,,2020-04-17T23:58:37Z,FALSE,,1251299055671693315,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WnFlow,257,TRUE,FALSE,,
"RT @089_zz: Si a un político chileno se contagia de Covid_19, sería un caso de estudio científico, sería la primera vez que un virus infect…",FALSE,0,,2020-04-17T23:58:36Z,FALSE,,1251299052605468672,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",emipauli84,37,TRUE,FALSE,,
RT @CarolaVeraR: Una señora de mi edificio se refiere a mi como “la infectada”. 😳😳 Y pide en el chat de vecinos que yo tengo que hacer ruid…,FALSE,0,,2020-04-17T23:58:35Z,FALSE,,1251299047454932992,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VillamanJaime,1506,TRUE,FALSE,,
RT @adnradiochile: La primera ministra de Escocia dijo que podrían tomar un camino diferente al Reino Unido ante el Covid-19 https://t.co/R…,FALSE,0,,2020-04-17T23:58:35Z,FALSE,,1251299046091902977,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",giorgioslim82,7,TRUE,FALSE,,
"RT @T13: 🔴 #AlertaT13 | OMS se desmarca de carnet de recuperados implementado en Chile y pide ""ser prudentes"" » https://t.co/k02rQ26rvR htt…",FALSE,0,,2020-04-17T23:58:27Z,FALSE,,1251299012382244871,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Podoves35,1543,TRUE,FALSE,,
